system:index,area_km2,class,territory,year,.geo
10_9_0,368.3866771901613,1,1508357.0,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_0,844.8032941278768,1,1500602.0,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_1_0,115.78864265185473,1,1500859.0,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_2_0,522.5218383249564,1,1501725.0,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_3_0,303.89405650769845,1,1504455.0,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_4_0,800.7131019918735,1,1505486.0,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_5_0,511.35656244874224,1,1505650.0,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_6_0,669.6093909327279,1,1505908.0,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_7_0,111.89316544152899,1,1507805.0,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_8_0,651.0974910423236,1,1508159.0,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_9_0,397.34875476933655,1,1508357.0,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_0,1148.1521388796953,1,1500602.0,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_1_0,251.69647560687824,1,1500859.0,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_2_0,570.8164111134722,1,1501725.0,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_3_0,346.90795220441544,1,1504455.0,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_4_0,878.642878603009,1,1505486.0,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_5_0,610.7402238642937,1,1505650.0,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_6_0,737.2872130426532,1,1505908.0,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_7_0,156.70297808208988,1,1507805.0,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_8_0,778.7117390196846,1,1508159.0,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_9_0,557.2584689293695,1,1508357.0,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_0,1331.1724621538021,1,1500602.0,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_1_0,290.68740305823724,1,1500859.0,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_2_0,739.9985726376123,1,1501725.0,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_3_0,489.0139861958255,1,1504455.0,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_4_0,981.5944120687724,1,1505486.0,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_5_0,619.412267908904,1,1505650.0,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_6_0,883.8381034638595,1,1505908.0,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_7_0,177.73572012591464,1,1507805.0,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_8_0,862.1812437980368,1,1508159.0,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_9_0,665.6653682291587,1,1508357.0,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_0,1668.3280249498882,1,1500602.0,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_1_0,311.73254435279296,1,1500859.0,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_2_0,759.2657570104079,1,1501725.0,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_3_0,498.7454153474378,1,1504455.0,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_4_0,1159.8684546151514,1,1505486.0,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
